abakaweishuangfuding 阿巴卡韦双夫定
xiantianxingbaohanxingpiyangnangzhong 先天性包涵性皮样囊肿
xiantianxingbeibupifudegedoudao 先天性背部皮肤的各窦道
xiantianxingbidoubiyichang 先天性鼻窦壁异常
xiantianxingbijixing 先天性鼻畸形
xiantianxingbikongxiazhai 先天性鼻孔狭窄
xiantianxingbiqueshi 先天性鼻缺失
xiantianxingbixiaozhuyichang 先天性鼻小柱异常
xiantianxingbiyanbisuo 先天性鼻咽闭锁
xiantianxingbiyitaxianzheng 先天性鼻翼塌陷症
xiantianxingbizhonggechuankong 先天性鼻中隔穿孔
xiantianxingbianpingzhizhijia 先天性扁平指趾甲
xiantianxingbingubantuowei 先天性髌骨半脱位
xiantianxingbinguqueru 先天性髌骨缺如
xiantianxingbingutuowei 先天性髌骨脱位
xiantianxingbingduxingganyan 先天性病毒性肝炎
xiantianxingbingduxingjibing 先天性病毒性疾病
xiantianxingbolitibingbian 先天性玻璃体病变
xiantianxingbolitihunzhuo 先天性玻璃体混浊
xiantianxingchangbi 先天性长鼻
xiantianxingchangxuanzhuanbuliang 先天性肠旋转不良
xiantianxingchenggubuquan 先天性成骨不全
xiantianxingchigulianhebulianjie 先天性耻骨联合不连接
xiantianxingchuanranbinghejishengchongbing 先天性传染病和寄生虫病
xiantianxingchuizhuangzhi 先天性槌状指 先天性槌状趾
xiantianxingchunhongxibaoxingpinxue 先天性纯红细胞性贫血
xiantianxingchunlou 先天性唇瘘
xiantianxingdadongmaidexiantianxingjixing 先天性大动脉的先天性畸形
xiantianxingdanaoqianxueguanjixing 先天性大脑前血管畸形
xiantianxingdapaoxingyulinbingyanghongpibing 先天性大疱性鱼鳞病样红皮病
xiantianxingdatuihexiaotuiquerubanyouzudecunzai 先天性大腿和小腿缺如伴有足的存在
xiantianxingdaxueguanzhuanwei 先天性大血管转位
xiantianxingdancedanaoxingtanhuan 先天性单侧大脑性瘫痪
xiantianxingdancekuanguanjiebantuowei 先天性单侧髋关节半脱位
xiantianxingdancekuanguanjietuowei 先天性单侧髋关节脱位
xiantianxingdanceliexiubushu 先天性单侧裂修补术
xiantianxingdanchunhongxibaozaishengzhangaixingpinxue 先天性单纯红细胞再生障碍性贫血
xiantianxingdandaogengse 先天性胆道梗塞
xiantianxingdanguanbisexinghuangdan 先天性胆管闭塞性黄疸
xiantianxingdanguanbisuo 先天性胆管闭锁
xiantianxingdanguanjixing 先天性胆管畸形
xiantianxingdanguankuozhang 先天性胆管扩张
xiantianxingdanguanxiazhai 先天性胆管狭窄
xiantianxingdannangfengejixing 先天性胆囊分隔畸形
xiantianxingdannangqueshi 先天性胆囊缺失
xiantianxingdanzongguanjixing 先天性胆总管畸形
xiantianxingdanzongguankuozhang 先天性胆总管扩张
xiantianxingdanzongguannangzhong 先天性胆总管囊肿
xiantianxingdaojie 先天性倒睫
xiantianxingdigujiaguanjie 先天性骶骨假关节
xiantianxingdiqiaguanjieronghe 先天性骶髂关节融合
xiantianxingdianquefaxingjiazhuangxiangongnengjiantuizheng 先天性碘缺乏性甲状腺功能减退症
xiantianxingdianquefazonghezheng 先天性碘缺乏综合征
xiantianxingdianzhuangbaineizhang 先天性点状白内障
xiantianxingdongjingmaiwenhezheng 先天性动静脉吻合症
xiantianxingdongmailiu 先天性动脉瘤
xiantianxingduanshangzhi 先天性短上肢
xiantianxingduanshiguan 先天性短食管
xiantianxingduanxiazhi 先天性短下肢
xiantianxingduanzanxingjiazhuangxianzhongbanyougongnengzhengchang 先天性短暂性甲状腺肿伴有功能正常
xiantianxingduofajixing 先天性多发畸形
xiantianxingduofaxingguruanguliu 先天性多发性骨软骨瘤
xiantianxingduofaxingguanjiewanqu 先天性多发性关节弯曲
xiantianxingduomaozheng 先天性多毛症
xiantianxingexingnue 先天性恶性疟
xiantianxingerchuiqueshi 先天性耳垂缺失
xiantianxingerjixing 先天性耳畸形
xiantianxingerjianbanbisuo 先天性二尖瓣闭锁
xiantianxingerjianbanbisuobuquan 先天性二尖瓣闭锁不全
xiantianxingerjianbantuochui 先天性二尖瓣脱垂
xiantianxingerjianbanxiazhai 先天性二尖瓣狭窄
xiantianxingerkuojixing 先天性耳廓畸形
xiantianxingerkuolou 先天性耳廓瘘
xiantianxingerkuoqueshi 先天性耳廓缺失
xiantianxingerqianlou 先天性耳前瘘
xiantianxingerqiannangzhong 先天性耳前囊肿
xiantianxingfayuyichang 先天性发育异常
xiantianxingfanfaxingxianweiliubing 先天性泛发性纤维瘤病
xiantianxingfanjia 先天性反甲
xiantianxingfangchuizhuangbaineizhang 先天性仿锤状白内障
xiantianxingfangjiangequesun 先天性房间隔缺损
xiantianxingfeidaxingyoumenxiazhai 先天性肥大性幽门狭窄
xiantianxingfeidongjingmailou 先天性肺动静脉瘘
xiantianxingfeidongmaibanbisuobuquan 先天性肺动脉瓣闭锁不全
xiantianxingfeidongmaibanhuiliu 先天性肺动脉瓣回流
xiantianxingfeidongmaibanloudouzhuangxiazhai 先天性肺动脉瓣漏斗状狭窄
xiantianxingfeidongmaibanxiazhai 先天性肺动脉瓣狭窄
xiantianxingfeidongmaibisuo 先天性肺动脉闭锁
xiantianxingfeidongmaifayubuquan 先天性肺动脉发育不全
xiantianxingfeidongmaigaoya 先天性肺动脉高压
xiantianxingfeidongmaixiazhai 先天性肺动脉狭窄
xiantianxingfeidongmaiyichang 先天性肺动脉异常
xiantianxingfeiduxingjiazhuangxianzhong 先天性非毒性甲状腺肿
xiantianxingfeifayubuquan 先天性肺发育不全
xiantianxingfeigujiegoubuliang 先天性腓骨结构不良
xiantianxingfeijinxingxinggongjishitiao 先天性非进行性共济失调
xiantianxingfeinangzhong 先天性肺囊肿
xiantianxingfeixianweihua 先天性肺纤维化
xiantianxingfeixunhuanyichang 先天性肺循环异常
xiantianxingfengzhenfeiyan 先天性风疹肺炎
xiantianxingfengzhenzonghezheng 先天性风疹综合征
xiantianxingfubiquesunfulie 先天性腹壁缺损腹裂
xiantianxingfugaofenli 先天性附睾分离
xiantianxinggaihuaxingruangufayuyichang 先天性钙化性软骨发育异常
xiantianxinggandongmaimenjingmailou 先天性肝动脉门静脉瘘
xiantianxingganjuexingshenjingbing 先天性感觉性神经病
xiantianxinggannangzhong 先天性肝囊肿
xiantianxingganrantefayuweishengqiganran 先天性感染特发于围生期感染
xiantianxingganyingbian 先天性肝硬变
xiantianxingganyinghua 先天性肝硬化
xiantianxingganzangjixing 先天性肝脏畸形
xiantianxinggangmenjixing 先天性肛门畸形
xiantianxinggaodanhongsuxuezheng 先天性高胆红素血症
xiantianxinggaotiexuehongdanbaixuezheng 先天性高铁血红蛋白血症
xiantianxinggaotiexuehongdanbaixuezhengminxinghuanyuanmeiquefa 先天性高铁血红蛋白血症敏性还原酶缺乏
xiantianxinggaowanfayubuliang 先天性睾丸发育不良
xiantianxinggaowanfayubuquan 先天性睾丸发育不全
xiantianxinggaowanfayubuquanhexing 先天性睾丸发育不全核型
xiantianxinggaowanfayubuquannanxingbanyouduoyulianggeranseti 先天性睾丸发育不全男性伴有多于两个染色体
xiantianxinggaowanfayubuquannanxingbanyouhexingde 先天性睾丸发育不全男性伴有核型的
xiantianxinggaowanqueshi 先天性睾丸缺失
xiantianxinggaoweijianjiazheng 先天性高位肩胛症
xiantianxinggaozhudongmaigong 先天性高主动脉弓
xiantianxinggeshan 先天性膈疝
xiantianxinggongxingtibing 先天性弓形体病
xiantianxinggugugongxing 先天性股骨弓形
xiantianxinggugutoujingquesun 先天性股骨头颈缺损
xiantianxingguanjiejixing 先天性关节畸形
xiantianxingguanzhuangdongmailiu 先天性冠状动脉瘤
xiantianxinghaiyincixiaoti 先天性海因茨小体
xiantianxinghongmoquesun 先天性虹膜缺损
xiantianxinghongxibaoshengchengbuliangxingpinxue 先天性红细胞生成不良性贫血
xiantianxinghongxibaoshengchengxingbulinzheng 先天性红细胞生成性卟啉症
xiantianxinghoubikongbisuo 先天性后鼻孔闭锁
xiantianxinghouchuanming 先天性喉喘鸣
xiantianxinghoujixingbaineizhang 先天性后极性白内障
xiantianxinghoujia 先天性厚甲
xiantianxinghoujiazheng 先天性厚甲症
xiantianxinghounangzhong 先天性喉囊肿
xiantianxinghouniaodaobanmo 先天性后尿道瓣膜
xiantianxinghoupu 先天性喉蹼
xiantianxinghouxiazhai 先天性喉狭窄
xiantianxinghuxiqiguanqueru 先天性呼吸器官缺如
xiantianxinghuaiguanjiejixing 先天性踝关节畸形
xiantianxinghuichangbisuoqueruhexiazhai 先天性回肠闭锁缺如和狭窄
xiantianxinghuiyanlie 先天性会厌裂
xiantianxingjibing 先天性肌病
xiantianxingjichihuan 先天性肌弛缓
xiantianxingjijianduansuo 先天性肌腱短缩
xiantianxingjimojisuipengchu 先天性脊膜脊髓膨出
xiantianxingjimopengchu 先天性脊膜膨出
xiantianxingjiqiangzhi 先天性肌强直
xiantianxingjisuilie 先天性脊髓裂
xiantianxingjisuipengchubannaojishui 先天性脊髓膨出伴脑积水
xiantianxingjiweisuo 先天性肌萎缩
xiantianxingjixingbianxingheransetiyichangdeteshushaixuanjiancha 先天性畸形变形和染色体异常的特殊筛选检查
xiantianxingjixingbianxingheranseyichangjiazushi 先天性畸形变形和染色异常家族史
xiantianxingjixingzonghezhengbanyouqitagugaibian 先天性畸形综合征伴有其他骨改变
xiantianxingjixiong 先天性鸡胸
xiantianxingjizhangliguoqiang 先天性肌张力过强
xiantianxingjizhanglijiantui 先天性肌张力减退
xiantianxingjizhubianxing 先天性脊柱变形
xiantianxingjizhucetuwan 先天性脊柱侧凸弯
xiantianxingjizhuguanjieqiangying 先天性脊柱关节强硬
xiantianxingjizhuhoutu 先天性脊柱后凸
xiantianxingjizhujixing 先天性脊柱畸形
xiantianxingjizhuronghe 先天性脊柱融合
xiantianxingjizhutuowei 先天性脊柱脱位
xiantianxingjizhuiguqueshi 先天性脊椎骨缺失
xiantianxingjizhuihuatuo 先天性脊椎滑脱
xiantianxingjizhuiqianyi 先天性脊椎前移
xiantianxingjiabaibanzheng 先天性甲白斑症
xiantianxingjiafeihou 先天性甲肥厚
xiantianxingjiaxingchengbuquan 先天性甲形成不全
xiantianxingjiazhuangshelouguanjinangzhong 先天性甲状舌瘘管及囊肿
xiantianxingjiazhuangxiangongnengjiantuizhengbanyoumimanxingjiazhuangxianzhong 先天性甲状腺功能减退症伴有弥漫性甲状腺肿
xiantianxingjiazhuangxiangongnengjiantuizhengbubanyoujiazhuangxianzhong 先天性甲状腺功能减退症不伴有甲状腺肿
xiantianxingjiazhuangxianjinengbuquan 先天性甲状腺机能不全
xiantianxingjiazhuangxianweisuo 先天性甲状腺萎缩
xiantianxingjiazhuangxianweisuobannianyeshuizhong 先天性甲状腺萎缩伴粘液水肿
xiantianxingjianjiaguyichang 先天性肩胛骨异常
xiantianxingjianliexiaxiao 先天性睑裂狭小
xiantianxingjianneifan 先天性睑内翻
xiantianxingjianquesun 先天性睑缺损
xiantianxingjianwaifan 先天性睑外翻
xiantianxingjiangzhudongmaixiazhai 先天性降主动脉狭窄
xiantianxingjiaohuabuliang 先天性角化不良
xiantianxingjiaomohunzhuo 先天性角膜混浊
xiantianxingjiechangkuozhang 先天性结肠扩张
xiantianxingjiechangqishiyan 先天性结肠憩室炎
xiantianxingjiehebing 先天性结核病
xiantianxingjingfeigufayubuliang 先天性胫腓骨发育不良
xiantianxingjingfeigujixing 先天性胫腓骨畸形
xiantianxingjingguhefeigugongxing 先天性胫骨和腓骨弓形
xiantianxingjingluanxingdanaoxingdanaoxingmabi 先天性痉挛性大脑性大脑性麻痹
xiantianxingjingluanxingshuangcejietan 先天性痉挛性双侧截瘫
xiantianxingjingmaikuozhang 先天性静脉扩张
xiantianxingjingqianlouguan 先天性颈前瘘管
xiantianxingjingxiongzhuigujiehezonghezheng 先天性颈胸椎骨结合综合症
xiantianxingjingzhuangtijixing 先天性晶状体畸形
xiantianxingjingzhuangtituowei 先天性晶状体脱位
xiantianxingjingzhuangtiyiwei 先天性晶状体移位
xiantianxingjubumaozengduozheng 先天性局部毛增多症
xiantianxingjujiechang 先天性巨结肠
xiantianxingjushezheng 先天性巨舌症
xiantianxingjushuniaoguan 先天性巨输尿管
xiantianxingjuwei 先天性巨胃
xiantianxingjuxibaobingduganran 先天性巨细胞病毒感染
xiantianxingkoujixing 先天性口畸形
xiantianxingkuanbianxing 先天性髋变形
xiantianxingkuanguanjiebantuowei 先天性髋关节半脱位
xiantianxingkuanguanjiefayubuliang 先天性髋关节发育不良
xiantianxingkuanguanjietuowei 先天性髋关节脱位
xiantianxingkuanjiufayubuliang 先天性髋臼发育不良
xiantianxingkuanneifan 先天性髋内翻
xiantianxingkuanwaifan 先天性髋外翻
xiantianxingleibiguanxiazhai 先天性泪鼻管狭窄
xiantianxingleidianqueshi 先天性泪点缺失
xiantianxingleiguqueshi 先天性肋骨缺失
xiantianxingleiguronghe 先天性肋骨融合
xiantianxingleiqijixing 先天性泪器畸形
xiantianxinglixibaoquefa 先天性粒细胞缺乏
xiantianxinglinbaguanjixing 先天性淋巴管畸形
xiantianxinglinbashuizhong 先天性淋巴水肿
xiantianxinglinxuan 先天性鳞癣
xiantianxinglong 先天性聋
xiantianxingloudouxiong 先天性漏斗胸
xiantianxinglugujixing 先天性颅骨畸形
xiantianxingluguqueshi 先天性颅骨缺失
xiantianxingluguyichang 先天性颅骨异常
xiantianxingluanchaofayubuquan 先天性卵巢发育不全
xiantianxingluanchaofayubuquanzonghezhengxingxianfayuzhangai 先天性卵巢发育不全综合征性腺发育障碍
xiantianxingluanchaoniuzhuan 先天性卵巢扭转
xiantianxingluanchaoqueshi 先天性卵巢缺失
xiantianxingluanyuankongweibi 先天性卵圆孔未闭
xiantianxingmabixingxieshi 先天性麻痹性斜视
xiantianxingmatineifanzu 先天性马蹄内翻足
xiantianxingmatiwaifanzu 先天性马蹄外翻足
xiantianxingmatizu 先天性马蹄足
xiantianxingmailuomoquesun 先天性脉络膜缺损
xiantianxingmangpanzonghezheng 先天性盲袢综合征
xiantianxingmaoxixueguankuozhangxingdalishipifu 先天性毛细血管扩张性大理石皮肤
xiantianxingmaozengduozheng 先天性毛增多症
xiantianxingmeidu 先天性梅毒
xiantianxingmenmaijixing 先天性门脉畸形
xiantianxingminiaodaojixing 先天性泌尿道畸形
xiantianxingmianbuwaipeiyefayubuliang 先天性面部外胚叶发育不良
xiantianxingmianguyichang 先天性面骨异常
xiantianxingmuzuneifan 先天性母足内翻
xiantianxingmuzuwaifan 先天性母足外翻
xiantianxingnanxingshengzhiqijixing 先天性男性生殖器畸形
xiantianxingnangxingfei 先天性囊性肺
xiantianxingnaodongjingmailiu 先天性脑动静脉瘤
xiantianxingnaodongjingmailou 先天性脑动静脉瘘
xiantianxingnaodongmailiupolie 先天性脑动脉瘤破裂
xiantianxingnaofayuyichang 先天性脑发育异常
xiantianxingnaojishui 先天性脑积水
xiantianxingnaonangzhong 先天性脑囊肿
xiantianxingnaopengchu 先天性脑膨出
xiantianxingnaoshan 先天性脑疝
xiantianxingnaoweisuo 先天性脑萎缩
xiantianxingnaoxueguanjixing 先天性脑血管畸形
xiantianxingneifanzu 先天性内翻足
xiantianxingneizizhuipi 先天性内眦赘皮
xiantianxingniaodaobanmoxingxiazhai 先天性尿道瓣膜性狭窄
xiantianxingniaodaobisuo 先天性尿道闭锁
xiantianxingniaodaojixing 先天性尿道畸形
xiantianxingniaodaopanglie 先天性尿道旁裂
xiantianxingniaodaoqishi 先天性尿道憩室
xiantianxingniaodaoxiazhai 先天性尿道狭窄
xiantianxingniaodaozhichanglou 先天性尿道直肠瘘
xiantianxingnukeguannangzhong 先天性努克管囊肿
xiantianxingpanzhuangbanyueban 先天性盘状半月板
xiantianxingpangguangheniaodaoqueru 先天性膀胱和尿道缺如
xiantianxingpangguangniaodaokouchuxiazhai 先天性膀胱尿道口处狭窄
xiantianxingpangguangshan 先天性膀胱疝
xiantianxingpangguangshuniaoguanshenfanliu 先天性膀胱输尿管肾反流
xiantianxingpangguangyiwei 先天性膀胱移位
xiantianxingpaozhenbingduganran 先天性疱疹病毒感染
xiantianxingpida 先天性脾大
xiantianxingpifufayubuliang 先天性皮肤发育不良
xiantianxingpifujiaohuabing 先天性皮肤角化病
xiantianxingpifuquexian 先天性皮肤缺陷
xiantianxingpifuyisebing 先天性皮肤异色病
xiantianxingpifuyouzhuangzengsheng 先天性皮肤疣状增生
xiantianxingpizhixianzengsheng 先天性皮脂腺增生
xiantianxingpiancefayubuliangbanyulinbingyanghongpibingjisizhi 先天性偏侧发育不良伴鱼鳞病样红皮病及四肢
xiantianxingpinxue 先天性贫血
xiantianxingpingzu 先天性平足
xiantianxingputongxingbaineizhang 先天性普通性白内障
xiantianxingqiguanbisuo 先天性气管闭锁
xiantianxingqiguankuozhang 先天性气管扩张
xiantianxingqiguanruanhua 先天性气管软化
xiantianxingqiguanshiguanlou 先天性气管食管瘘
xiantianxingqiguanxiazhai 先天性气管狭窄
xiantianxingqilou 先天性脐瘘
xiantianxingqiniaoguanlou 先天性脐尿管瘘
xiantianxingqiniaoguannangzhong 先天性脐尿管囊肿
xiantianxingqipangguanglou 先天性脐膀胱瘘
xiantianxingqishan 先天性脐疝
xiantianxingqiagujiaozonghezheng 先天性髂骨角综合征
xiantianxingqianbiheshoudequeru 先天性前臂和手的缺如
xiantianxingqianbikongxiazhai 先天性前鼻孔狭窄
xiantianxingqianebianxing 先天性前额变形
xiantianxingqianhehouzhoupeitaibaineizhang 先天性前和后轴胚胎白内障
xiantianxingqianjixingbaineizhang 先天性前极性白内障
xiantianxingqiangjingmaixiazhai 先天性腔静脉狭窄
xiantianxingqiaomojiye 先天性鞘膜积液
xiantianxingqingguangyan 先天性青光眼
xiantianxingqiuxingjiaomo 先天性球形角膜
xiantianxingquganbudongjingmailou 先天性躯干部动静脉瘘
xiantianxingquangutongguoduozheng 先天性醛固酮过多症
xiantianxingquanguyichang 先天性颧骨异常
xiantianxingquanshenxingzhifangyingyangbuliang 先天性全身性脂肪营养不良
xiantianxingqueya 先天性缺牙
xiantianxingraoguxiaotoubantuowei 先天性桡骨小头半脱位
xiantianxingrongxuexingpinxue 先天性溶血性贫血
xiantianxingrongxuexingqiuxinghongxibaohuangdan 先天性溶血性球形红细胞黄疸
xiantianxingrunaoqianxueguandongjingmaijixing 先天性入脑前血管动静脉畸形
xiantianxingrutangquefa 先天性乳糖缺乏
xiantianxingruanguzengsheng 先天性软骨增生
xiantianxingsailielou 先天性鳃裂瘘
xiantianxingsailienangzhong 先天性鳃裂囊肿
xiantianxingsanjianbanbisuo 先天性三尖瓣闭锁
xiantianxingsanjianbanbisuobuquan 先天性三尖瓣闭锁不全
xiantianxingsanjianbanjixing 先天性三尖瓣畸形
xiantianxingsanjianbanxiazhai 先天性三尖瓣狭窄
xiantianxingsezhi 先天性色痣
xiantianxingshangbiheqianbiquerubanyoushoudecunzai 先天性上臂和前臂缺如伴有手的存在
xiantianxingshangjianxiachui 先天性上睑下垂
xiantianxingshangzhidongjingmailou 先天性上肢动静脉瘘
xiantianxingshangzhijixing 先天性上肢畸形
xiantianxingshangzhiwanquanqueru 先天性上肢完全缺如
xiantianxingshedezhanlian 先天性舌的粘连
xiantianxingshenbianbingzonghezheng 先天性肾变病综合征
xiantianxingshendongjingmailiu 先天性肾动静脉瘤
xiantianxingshendongjingmailou 先天性肾动静脉瘘
xiantianxingshendongmaijixing 先天性肾动脉畸形
xiantianxingshendongmaixiazhai 先天性肾动脉狭窄
xiantianxingshenfayubuliang 先天性肾发育不良
xiantianxingshenjixing 先天性肾畸形
xiantianxingshenjieshi 先天性肾结石
xiantianxingshennangxingbing 先天性肾囊性病
xiantianxingshennangzhong 先天性肾囊肿
xiantianxingshenqueshi 先天性肾缺失
xiantianxingshenshangxianpizhizengsheng 先天性肾上腺皮质增生
xiantianxingshenshangxianzengsheng 先天性肾上腺增生
xiantianxingshenshangxianzhengjihuanbanyoumeiquefa 先天性肾上腺征疾患伴有酶缺乏
xiantianxingshenshuaijie 先天性肾衰竭
xiantianxingshenweisuo 先天性肾萎缩
xiantianxingshenxiaoguanbing 先天性肾小管病
xiantianxingshenyujishui 先天性肾盂积水
xiantianxingshenyujuda 先天性肾盂巨大
xiantianxingshenyuxiazhai 先天性肾盂狭窄
xiantianxingshengmenxiaxiazhai 先天性声门下狭窄
xiantianxingshiguanbisuo 先天性食管闭锁
xiantianxingshiguankuozhang 先天性食管扩张
xiantianxingshiguanliekongshan 先天性食管裂孔疝
xiantianxingshiguannangzhong 先天性食管囊肿
xiantianxingshiguanqishi 先天性食管憩室
xiantianxingshiguanqueru 先天性食管缺如
xiantianxingshiguanxiazhai 先天性食管狭窄
xiantianxingshiguanyiwei 先天性食管移位
xiantianxingshijiangefeihou 先天性室间隔肥厚
xiantianxingshijiangequesun 先天性室间隔缺损
xiantianxingshirutouxiaoao 先天性视乳头小凹
xiantianxingshiwangmohuangbanbianxing 先天性视网膜黄斑变性
xiantianxingshizhidefeiduxingjiazhuangxianzhong 先天性实质的非毒性甲状腺肿
xiantianxingshoujixing 先天性手畸形
xiantianxingshouqueru 先天性手缺如
xiantianxingshouzhaoxing 先天性手爪形
xiantianxingshujingguanqueshi 先天性输精管缺失
xiantianxingshuluanguanbisuo 先天性输卵管闭锁
xiantianxingshuluanguanqueshi 先天性输卵管缺失
xiantianxingshuniaoguanbisehexiazhai 先天性输尿管闭塞和狭窄
xiantianxingshuniaoguangengzuxingquexian 先天性输尿管梗阻性缺陷
xiantianxingshuniaoguanjixing 先天性输尿管畸形
xiantianxingshuniaoguankaikouyiwei 先天性输尿管开口移位
xiantianxingshuniaoguankuozhang 先天性输尿管扩张
xiantianxingshuniaoguanpangguangkaikouchuxiazhai 先天性输尿管膀胱开口处狭窄
xiantianxingshuniaoguanqueshi 先天性输尿管缺失
xiantianxingshuniaoguanshan 先天性输尿管疝
xiantianxingshuniaoguanshenyujiehechuxiazhai 先天性输尿管肾盂接合处狭窄
xiantianxingshuniaoguanxiazhai 先天性输尿管狭窄
xiantianxingshuniaoguanyiwei 先天性输尿管异位
xiantianxingshuangcekuanguanjiebantuowei 先天性双侧髋关节半脱位
xiantianxingshuangcekuanguanjietuowei 先天性双侧髋关节脱位
xiantianxingshuangzhudongmaigong 先天性双主动脉弓
xiantianxingshuidou 先天性水痘
xiantianxingsuogujixing 先天性锁骨畸形
xiantianxingtesaimeitemoquesun 先天性特塞梅特膜缺损
xiantianxingtongkongbisuo 先天性瞳孔闭锁
xiantianxingtongkongmocanliu 先天性瞳孔膜残留
xiantianxingtongkongyiwei 先天性瞳孔异位
xiantianxingtongxingyinjingboqi 先天性痛性阴茎勃起
xiantianxingtoujingbudongjingmailou 先天性头颈部动静脉瘘
xiantianxingtouluaoxian 先天性头颅凹陷
xiantianxingtoulujixingbannaojishui 先天性头颅畸形伴脑积水
xiantianxingtu 先天性秃
xiantianxingtunshixibaogongnengbuliang 先天性吞噬细胞功能不良
xiantianxingtunshizhangaibing 先天性吞噬障碍病
xiantianxingtuofa 先天性脱发
xiantianxingtuofengbi 先天性驼峰鼻
xiantianxingwaierdaobisuo 先天性外耳道闭锁
xiantianxingwaierdaoqueru 先天性外耳道缺如
xiantianxingwaierdaoxiazhai 先天性外耳道狭窄
xiantianxingwaierjixing 先天性外耳畸形
xiantianxingwaifanzu 先天性外翻足
xiantianxingwaishengguyou 先天性外生骨疣
xiantianxingwaiyinjixing 先天性外阴畸形
xiantianxingwaiyinnangzhong 先天性外阴囊肿
xiantianxingwanguanjiebantuowei 先天性腕关节半脱位
xiantianxingwangmozhanlian 先天性网膜粘连
xiantianxingwangzhuangqingban 先天性网状青斑
xiantianxingweigujixing 先天性尾骨畸形
xiantianxingweijixing 先天性胃畸形
xiantianxingweiniuzhuan 先天性胃扭转
xiantianxingweiqishi 先天性胃憩室
xiantianxingweiyiwei 先天性胃移位
xiantianxingwuer 先天性无耳
xiantianxingwuhongmo 先天性无虹膜
xiantianxingwujiazheng 先天性无甲症
xiantianxingwujingzhuangti 先天性无晶状体
xiantianxingwumaozheng 先天性无毛症
xiantianxingwurufangbanyouwurutou 先天性无乳房伴有无乳头
xiantianxingwuyanqiu 先天性无眼球
xiantianxingwuyixian 先天性无胰腺
xiantianxingxierweiyusidaoshuiguangengzuxiazhaiyichang 先天性西尔维于斯导水管梗阻狭窄异常
xiantianxingxiguanjiejixing 先天性膝关节畸形
xiantianxingxiguanjietuowei 先天性膝关节脱位
xiantianxingxineifangongxingtui 先天性膝内翻弓形腿
xiantianxingxiququluansuo 先天性膝屈曲挛缩
xiantianxingxiwaifan 先天性膝外翻
xiantianxingxiazhidongjingmailiu 先天性下肢动静脉瘤
xiantianxingxiazhidongjingmailou 先天性下肢动静脉瘘
xiantianxingxiazhigujiaguanjie 先天性下肢骨假关节
xiantianxingxiazhijixing 先天性下肢畸形
xiantianxingxiazhiwanquanqueru 先天性下肢完全缺如
xiantianxingxianweidanbaiyuanquefa 先天性纤维蛋白原缺乏
xiantianxingxianweiliubing 先天性纤维瘤病
xiantianxingxianxianlou 先天性涎腺瘘
xiantianxingxiangpibingrenhebuwei 先天性橡皮病任何部位
xiantianxingxiaochangbisuo 先天性小肠闭锁
xiantianxingxiaochangxiazhai 先天性小肠狭窄
xiantianxingxiaoer 先天性小耳
xiantianxingxiaohuadaojixing 先天性消化道畸形
xiantianxingxiaohuadaoyiwei 先天性消化道异位
xiantianxingxiaojiechang 先天性小结肠
xiantianxingxiaonaobiantaotishan 先天性小脑扁桃体疝
xiantianxingxiaotuihezuqueru 先天性小腿和足缺如
xiantianxingxiaoyinchunzhanlian 先天性小阴唇粘连
xiantianxingxiejing 先天性斜颈
xiantianxingxinbaoquesun 先天性心包缺损
xiantianxingxinerjixing 先天性心耳畸形
xiantianxingxinjibing 先天性心肌病
xiantianxingxinneimodianquesun 先天性心内膜垫缺损
xiantianxingxinshifeihou 先天性心室肥厚
xiantianxingxinxueguanjixing 先天性心血管畸形
xiantianxingxinzangbing 先天性心脏病
xiantianxingxinzangbingbingfayurenshenfenmianhechanruqi 先天性心脏病并发于妊娠分娩和产褥期
xiantianxingxinzangchuandaozuzhi 先天性心脏传导阻滞
xiantianxingxinzangfangshichuandaozuzhi 先天性心脏房室传导阻滞
xiantianxingxinzangfeida 先天性心脏肥大
xiantianxingxinzangqueshi 先天性心脏缺失
xiantianxingxinglianwuqiudanbaixuezheng 先天性性联无球蛋白血症
xiantianxingxiongbipifudoudaobannongzhong 先天性胸壁皮肤窦道伴脓肿
xiantianxingxiongdajiqueshi 先天性胸大肌缺失
xiantianxingxiongguqueru 先天性胸骨缺如
xiantianxingxionggurutoudezhongliu 先天性胸骨乳头的肿瘤
xiantianxingxionggurutujiluansuo 先天性胸骨乳突肌挛缩
xiantianxingxionggurutujixingxiejing 先天性胸骨乳突肌性斜颈
xiantianxingxiongkuojixing 先天性胸廓畸形
xiantianxingxiongxianfeida 先天性胸腺肥大
xiantianxingxiongzhuijixing 先天性胸椎畸形
xiantianxingxuruo 先天性虚弱
xiantianxingxueguanquzhang 先天性血管曲张
xiantianxingxuexiaobanjianshaozheng 先天性血小板减少症
xiantianxingyanjiqueshi 先天性眼肌缺失
xiantianxingyanjixing 先天性眼畸形
xiantianxingyankuangjixing 先天性眼眶畸形
xiantianxingyanmianmianbujixing 先天性颜面面部畸形
xiantianxingyanmianshenjingtanhuan 先天性眼面神经瘫痪
xiantianxingyanqiuzhenchan 先天性眼球震颤
xiantianxingyangzhineifanzu 先天性仰趾内翻足
xiantianxingyangzhiwaifanzu 先天性仰趾外翻足
xiantianxingyangzhizu 先天性仰趾足
xiantianxingyaodijizhuiqianyi 先天性腰骶脊椎前移
xiantianxingyaozhuijixing 先天性腰椎畸形
